generation	avg_fitness	best_gen_fitness	best_so_far_fitness	hh_contacts	overlaps	mutation_rate
0	0,012657	0,022684	0,022684	12	22	0,050000
1	0,016122	0,027701	0,027701	10	18	0,049867
2	0,020499	0,042969	0,042969	11	15	0,049733
3	0,026011	0,057778	0,057778	13	14	0,049600
4	0,032761	0,057778	0,057778	13	14	0,049467
5	0,038712	0,066406	0,066406	17	15	0,049333
6	0,047295	0,088757	0,088757	15	12	0,049200
7	0,058115	0,110000	0,110000	11	9	0,049067
8	0,067416	0,110000	0,110000	11	9	0,048933
9	0,078647	0,156250	0,156250	10	7	0,048800
10	0,092006	0,222222	0,222222	8	5	0,048667
11	0,110378	0,222222	0,222222	8	5	0,048533
12	0,131471	0,280000	0,280000	7	4	0,048400
13	0,160221	0,280000	0,280000	7	4	0,048267
14	0,183436	0,320000	0,320000	8	4	0,048133
15	0,211671	0,375000	0,375000	6	3	0,048000
16	0,261958	0,888889	0,888889	8	2	0,047867
17	0,333565	0,888889	0,888889	8	2	0,047733
18	0,425660	0,888889	0,888889	8	2	0,047600
19	0,594539	1,250000	1,250000	5	1	0,047467
20	0,721236	2,000000	2,000000	8	1	0,047333
21	1,030236	4,000000	4,000000	4	0	0,047200
22	1,497847	6,000000	6,000000	6	0	0,047067
23	2,208333	6,000000	6,000000	6	0	0,046933
24	3,392500	6,000000	6,000000	6	0	0,046800
25	4,893750	6,000000	6,000000	6	0	0,046667
26	5,825000	6,000000	6,000000	6	0	0,046533
27	6,000000	6,000000	6,000000	6	0	0,046400
28	6,000000	6,000000	6,000000	6	0	0,046267
29	6,000000	6,000000	6,000000	6	0	0,046133
30	6,000000	6,000000	6,000000	6	0	0,046000
31	6,000000	6,000000	6,000000	6	0	0,045867
32	6,000000	6,000000	6,000000	6	0	0,045733
33	6,000000	6,000000	6,000000	6	0	0,045600
34	6,000000	6,000000	6,000000	6	0	0,045467
35	6,000000	6,000000	6,000000	6	0	0,045333
36	6,000000	6,000000	6,000000	6	0	0,045200
37	6,000000	6,000000	6,000000	6	0	0,045067
38	6,000000	6,000000	6,000000	6	0	0,044933
39	6,000000	6,000000	6,000000	6	0	0,044800
40	6,000000	6,000000	6,000000	6	0	0,044667
41	6,000000	6,000000	6,000000	6	0	0,044533
42	6,000000	6,000000	6,000000	6	0	0,044400
43	6,000000	6,000000	6,000000	6	0	0,044267
44	6,000000	6,000000	6,000000	6	0	0,044133
45	6,000000	6,000000	6,000000	6	0	0,044000
46	6,025000	7,000000	7,000000	7	0	0,043867
47	6,015000	7,000000	7,000000	7	0	0,043733
48	6,040000	7,000000	7,000000	7	0	0,043600
49	6,100000	7,000000	7,000000	7	0	0,043467
50	6,270000	7,000000	7,000000	7	0	0,043333
51	6,540000	7,000000	7,000000	7	0	0,043200
52	6,880000	7,000000	7,000000	7	0	0,043067
53	6,995000	7,000000	7,000000	7	0	0,042933
54	7,000000	7,000000	7,000000	7	0	0,042800
55	7,000000	7,000000	7,000000	7	0	0,042667
56	7,000000	7,000000	7,000000	7	0	0,042533
57	7,000000	7,000000	7,000000	7	0	0,042400
58	7,000000	7,000000	7,000000	7	0	0,042267
59	7,000000	7,000000	7,000000	7	0	0,042133
60	7,000000	7,000000	7,000000	7	0	0,042000
61	7,000000	7,000000	7,000000	7	0	0,041867
62	7,000000	7,000000	7,000000	7	0	0,041733
63	7,000000	7,000000	7,000000	7	0	0,041600
64	7,000000	7,000000	7,000000	7	0	0,041467
65	7,000000	7,000000	7,000000	7	0	0,041333
66	7,000000	7,000000	7,000000	7	0	0,041200
67	7,000000	7,000000	7,000000	7	0	0,041067
68	7,000000	7,000000	7,000000	7	0	0,040933
69	7,020000	8,000000	8,000000	8	0	0,040800
70	7,045000	8,000000	8,000000	8	0	0,040667
71	7,140000	8,000000	8,000000	8	0	0,040533
72	7,370000	8,000000	8,000000	8	0	0,040400
73	7,695000	8,000000	8,000000	8	0	0,040267
74	7,960000	8,000000	8,000000	8	0	0,040133
75	8,000000	8,000000	8,000000	8	0	0,040000
76	8,000000	8,000000	8,000000	8	0	0,039867
77	8,000000	8,000000	8,000000	8	0	0,039733
78	8,000000	8,000000	8,000000	8	0	0,039600
79	8,000000	8,000000	8,000000	8	0	0,039467
80	8,000000	8,000000	8,000000	8	0	0,039333
81	8,000000	8,000000	8,000000	8	0	0,039200
82	8,000000	8,000000	8,000000	8	0	0,039067
83	8,000000	8,000000	8,000000	8	0	0,038933
84	8,000000	8,000000	8,000000	8	0	0,038800
85	8,000000	8,000000	8,000000	8	0	0,038667
86	8,000000	8,000000	8,000000	8	0	0,038533
87	8,020000	9,000000	9,000000	9	0	0,038400
88	8,065000	9,000000	9,000000	9	0	0,038267
89	8,145000	9,000000	9,000000	9	0	0,038133
90	8,345000	9,000000	9,000000	9	0	0,038000
91	8,700000	9,000000	9,000000	9	0	0,037867
92	8,975000	9,000000	9,000000	9	0	0,037733
93	9,000000	9,000000	9,000000	9	0	0,037600
94	9,000000	9,000000	9,000000	9	0	0,037467
95	9,000000	9,000000	9,000000	9	0	0,037333
96	9,000000	9,000000	9,000000	9	0	0,037200
97	9,000000	9,000000	9,000000	9	0	0,037067
98	9,000000	9,000000	9,000000	9	0	0,036933
99	9,000000	9,000000	9,000000	9	0	0,036800
100	9,000000	9,000000	9,000000	9	0	0,036667
101	9,000000	9,000000	9,000000	9	0	0,036533
102	9,000000	9,000000	9,000000	9	0	0,036400
103	9,000000	9,000000	9,000000	9	0	0,036267
104	9,000000	9,000000	9,000000	9	0	0,036133
105	9,000000	9,000000	9,000000	9	0	0,036000
106	9,000000	9,000000	9,000000	9	0	0,035867
107	9,000000	9,000000	9,000000	9	0	0,035733
108	9,000000	9,000000	9,000000	9	0	0,035600
109	9,000000	9,000000	9,000000	9	0	0,035467
110	9,000000	9,000000	9,000000	9	0	0,035333
111	9,000000	9,000000	9,000000	9	0	0,035200
112	9,000000	9,000000	9,000000	9	0	0,035067
113	9,000000	9,000000	9,000000	9	0	0,034933
114	9,000000	9,000000	9,000000	9	0	0,034800
115	9,000000	9,000000	9,000000	9	0	0,034667
116	9,000000	9,000000	9,000000	9	0	0,034533
117	9,000000	9,000000	9,000000	9	0	0,034400
118	9,000000	9,000000	9,000000	9	0	0,034267
119	9,000000	9,000000	9,000000	9	0	0,034133
120	9,000000	9,000000	9,000000	9	0	0,034000
121	9,000000	9,000000	9,000000	9	0	0,033867
122	9,000000	9,000000	9,000000	9	0	0,033733
123	9,000000	9,000000	9,000000	9	0	0,033600
124	9,000000	9,000000	9,000000	9	0	0,033467
125	9,000000	9,000000	9,000000	9	0	0,033333
126	9,000000	9,000000	9,000000	9	0	0,033200
127	9,000000	9,000000	9,000000	9	0	0,033067
128	9,000000	9,000000	9,000000	9	0	0,032933
129	9,000000	9,000000	9,000000	9	0	0,032800
130	9,000000	9,000000	9,000000	9	0	0,032667
131	9,000000	9,000000	9,000000	9	0	0,032533
132	9,000000	9,000000	9,000000	9	0	0,032400
133	9,000000	9,000000	9,000000	9	0	0,032267
134	9,000000	9,000000	9,000000	9	0	0,032133
135	9,000000	9,000000	9,000000	9	0	0,032000
136	9,000000	9,000000	9,000000	9	0	0,031867
137	9,000000	9,000000	9,000000	9	0	0,031733
138	9,000000	9,000000	9,000000	9	0	0,031600
139	9,000000	9,000000	9,000000	9	0	0,031467
140	9,000000	9,000000	9,000000	9	0	0,031333
141	9,000000	9,000000	9,000000	9	0	0,031200
142	9,000000	9,000000	9,000000	9	0	0,031067
143	9,000000	9,000000	9,000000	9	0	0,030933
144	9,000000	9,000000	9,000000	9	0	0,030800
145	9,000000	9,000000	9,000000	9	0	0,030667
146	9,000000	9,000000	9,000000	9	0	0,030533
147	9,000000	9,000000	9,000000	9	0	0,030400
148	9,000000	9,000000	9,000000	9	0	0,030267
149	9,000000	9,000000	9,000000	9	0	0,030133
150	9,000000	9,000000	9,000000	9	0	0,030000
151	9,000000	9,000000	9,000000	9	0	0,029867
152	9,000000	9,000000	9,000000	9	0	0,029733
153	9,000000	9,000000	9,000000	9	0	0,029600
154	9,000000	9,000000	9,000000	9	0	0,029467
155	9,000000	9,000000	9,000000	9	0	0,029333
156	9,000000	9,000000	9,000000	9	0	0,029200
157	9,000000	9,000000	9,000000	9	0	0,029067
158	9,000000	9,000000	9,000000	9	0	0,028933
159	9,000000	9,000000	9,000000	9	0	0,028800
160	9,000000	9,000000	9,000000	9	0	0,028667
161	9,000000	9,000000	9,000000	9	0	0,028533
162	9,000000	9,000000	9,000000	9	0	0,028400
163	9,000000	9,000000	9,000000	9	0	0,028267
164	9,000000	9,000000	9,000000	9	0	0,028133
165	9,000000	9,000000	9,000000	9	0	0,028000
166	9,000000	9,000000	9,000000	9	0	0,027867
167	9,000000	9,000000	9,000000	9	0	0,027733
168	9,000000	9,000000	9,000000	9	0	0,027600
169	9,000000	9,000000	9,000000	9	0	0,027467
170	9,000000	9,000000	9,000000	9	0	0,027333
171	9,000000	9,000000	9,000000	9	0	0,027200
172	9,000000	9,000000	9,000000	9	0	0,027067
173	9,000000	9,000000	9,000000	9	0	0,026933
174	9,000000	9,000000	9,000000	9	0	0,026800
175	9,000000	9,000000	9,000000	9	0	0,026667
176	9,000000	9,000000	9,000000	9	0	0,026533
177	9,000000	9,000000	9,000000	9	0	0,026400
178	9,000000	9,000000	9,000000	9	0	0,026267
179	9,000000	9,000000	9,000000	9	0	0,026133
180	9,000000	9,000000	9,000000	9	0	0,026000
181	9,000000	9,000000	9,000000	9	0	0,025867
182	9,000000	9,000000	9,000000	9	0	0,025733
183	9,000000	9,000000	9,000000	9	0	0,025600
184	9,000000	9,000000	9,000000	9	0	0,025467
185	9,000000	9,000000	9,000000	9	0	0,025333
186	9,000000	9,000000	9,000000	9	0	0,025200
187	9,000000	9,000000	9,000000	9	0	0,025067
188	9,000000	9,000000	9,000000	9	0	0,024933
189	9,000000	9,000000	9,000000	9	0	0,024800
190	9,000000	9,000000	9,000000	9	0	0,024667
191	9,000000	9,000000	9,000000	9	0	0,024533
192	9,000000	9,000000	9,000000	9	0	0,024400
193	9,000000	9,000000	9,000000	9	0	0,024267
194	9,000000	9,000000	9,000000	9	0	0,024133
195	9,000000	9,000000	9,000000	9	0	0,024000
196	9,000000	9,000000	9,000000	9	0	0,023867
197	9,000000	9,000000	9,000000	9	0	0,023733
198	9,000000	9,000000	9,000000	9	0	0,023600
199	9,000000	9,000000	9,000000	9	0	0,023467
200	9,000000	9,000000	9,000000	9	0	0,023333
201	9,000000	9,000000	9,000000	9	0	0,023200
202	9,000000	9,000000	9,000000	9	0	0,023067
203	9,000000	9,000000	9,000000	9	0	0,022933
204	9,000000	9,000000	9,000000	9	0	0,022800
205	9,000000	9,000000	9,000000	9	0	0,022667
206	9,000000	9,000000	9,000000	9	0	0,022533
207	9,000000	9,000000	9,000000	9	0	0,022400
208	9,000000	9,000000	9,000000	9	0	0,022267
209	9,000000	9,000000	9,000000	9	0	0,022133
210	9,000000	9,000000	9,000000	9	0	0,022000
211	9,000000	9,000000	9,000000	9	0	0,021867
212	9,000000	9,000000	9,000000	9	0	0,021733
213	9,000000	9,000000	9,000000	9	0	0,021600
214	9,000000	9,000000	9,000000	9	0	0,021467
215	9,000000	9,000000	9,000000	9	0	0,021333
216	9,000000	9,000000	9,000000	9	0	0,021200
217	9,000000	9,000000	9,000000	9	0	0,021067
218	9,000000	9,000000	9,000000	9	0	0,020933
219	9,000000	9,000000	9,000000	9	0	0,020800
220	9,000000	9,000000	9,000000	9	0	0,020667
221	9,000000	9,000000	9,000000	9	0	0,020533
222	9,000000	9,000000	9,000000	9	0	0,020400
223	9,000000	9,000000	9,000000	9	0	0,020267
224	9,000000	9,000000	9,000000	9	0	0,020133
225	9,000000	9,000000	9,000000	9	0	0,020000
226	9,000000	9,000000	9,000000	9	0	0,019867
227	9,000000	9,000000	9,000000	9	0	0,019733
228	9,000000	9,000000	9,000000	9	0	0,019600
229	9,000000	9,000000	9,000000	9	0	0,019467
230	9,000000	9,000000	9,000000	9	0	0,019333
231	9,000000	9,000000	9,000000	9	0	0,019200
232	9,000000	9,000000	9,000000	9	0	0,019067
233	9,000000	9,000000	9,000000	9	0	0,018933
234	9,000000	9,000000	9,000000	9	0	0,018800
235	9,000000	9,000000	9,000000	9	0	0,018667
236	9,000000	9,000000	9,000000	9	0	0,018533
237	9,000000	9,000000	9,000000	9	0	0,018400
238	9,000000	9,000000	9,000000	9	0	0,018267
239	9,000000	9,000000	9,000000	9	0	0,018133
240	9,000000	9,000000	9,000000	9	0	0,018000
241	9,000000	9,000000	9,000000	9	0	0,017867
242	9,000000	9,000000	9,000000	9	0	0,017733
243	9,000000	9,000000	9,000000	9	0	0,017600
244	9,000000	9,000000	9,000000	9	0	0,017467
245	9,000000	9,000000	9,000000	9	0	0,017333
246	9,000000	9,000000	9,000000	9	0	0,017200
247	9,000000	9,000000	9,000000	9	0	0,017067
248	9,000000	9,000000	9,000000	9	0	0,016933
249	9,000000	9,000000	9,000000	9	0	0,016800
250	9,000000	9,000000	9,000000	9	0	0,016667
251	9,000000	9,000000	9,000000	9	0	0,016533
252	9,000000	9,000000	9,000000	9	0	0,016400
253	9,000000	9,000000	9,000000	9	0	0,016267
254	9,000000	9,000000	9,000000	9	0	0,016133
255	9,000000	9,000000	9,000000	9	0	0,016000
256	9,000000	9,000000	9,000000	9	0	0,015867
257	9,000000	9,000000	9,000000	9	0	0,015733
258	9,000000	9,000000	9,000000	9	0	0,015600
259	9,000000	9,000000	9,000000	9	0	0,015467
260	9,000000	9,000000	9,000000	9	0	0,015333
261	9,000000	9,000000	9,000000	9	0	0,015200
262	9,000000	9,000000	9,000000	9	0	0,015067
263	9,000000	9,000000	9,000000	9	0	0,014933
264	9,000000	9,000000	9,000000	9	0	0,014800
265	9,000000	9,000000	9,000000	9	0	0,014667
266	9,000000	9,000000	9,000000	9	0	0,014533
267	9,000000	9,000000	9,000000	9	0	0,014400
268	9,000000	9,000000	9,000000	9	0	0,014267
269	9,000000	9,000000	9,000000	9	0	0,014133
270	9,000000	9,000000	9,000000	9	0	0,014000
271	9,000000	9,000000	9,000000	9	0	0,013867
272	9,000000	9,000000	9,000000	9	0	0,013733
273	9,000000	9,000000	9,000000	9	0	0,013600
274	9,000000	9,000000	9,000000	9	0	0,013467
275	9,000000	9,000000	9,000000	9	0	0,013333
276	9,000000	9,000000	9,000000	9	0	0,013200
277	9,000000	9,000000	9,000000	9	0	0,013067
278	9,000000	9,000000	9,000000	9	0	0,012933
279	9,000000	9,000000	9,000000	9	0	0,012800
280	9,000000	9,000000	9,000000	9	0	0,012667
281	9,000000	9,000000	9,000000	9	0	0,012533
282	9,000000	9,000000	9,000000	9	0	0,012400
283	9,000000	9,000000	9,000000	9	0	0,012267
284	9,000000	9,000000	9,000000	9	0	0,012133
285	9,000000	9,000000	9,000000	9	0	0,012000
286	9,000000	9,000000	9,000000	9	0	0,011867
287	9,000000	9,000000	9,000000	9	0	0,011733
288	9,000000	9,000000	9,000000	9	0	0,011600
289	9,000000	9,000000	9,000000	9	0	0,011467
290	9,000000	9,000000	9,000000	9	0	0,011333
291	9,000000	9,000000	9,000000	9	0	0,011200
292	9,000000	9,000000	9,000000	9	0	0,011067
293	9,000000	9,000000	9,000000	9	0	0,010933
294	9,000000	9,000000	9,000000	9	0	0,010800
295	9,000000	9,000000	9,000000	9	0	0,010667
296	9,000000	9,000000	9,000000	9	0	0,010533
297	9,000000	9,000000	9,000000	9	0	0,010400
298	9,000000	9,000000	9,000000	9	0	0,010267
299	9,000000	9,000000	9,000000	9	0	0,010133
